freq,Omicida,Sesso della vittima,Unità,Nazione,Anno,Omicidi
A,Familiare,F,Valori assoluti,Repubblica Ceca,2008,11.0
A,Familiare,F,Valori assoluti,Finlandia,2008,3.0
A,Familiare,F,Valori assoluti,Italia,2008,51.0
A,Familiare,F,Valori assoluti,Lituania,2008,9.0
A,Familiare,F,Valori assoluti,Paesi Bassi,2008,12.0
A,Familiare,F,Valori assoluti,Slovenia,2008,1.0
A,Familiare,F,Valori assoluti,Inghilterra e Galles,2008,31.0
A,Familiare,F,Valori assoluti,Scozia,2008,3.0
A,Familiare,F,Valori assoluti,Irlanda del Nord,2008,0.0
A,Familiare,F,Valori per centomila abitanti,Repubblica Ceca,2008,0.21
A,Familiare,F,Valori per centomila abitanti,Finlandia,2008,0.11
A,Familiare,F,Valori per centomila abitanti,Italia,2008,0.17
A,Familiare,F,Valori per centomila abitanti,Lituania,2008,0.52
A,Familiare,F,Valori per centomila abitanti,Paesi Bassi,2008,0.14
A,Familiare,F,Valori per centomila abitanti,Slovenia,2008,0.1
A,Familiare,F,Valori per centomila abitanti,Inghilterra e Galles,2008,0.11
A,Familiare,F,Valori per centomila abitanti,Scozia,2008,0.11
A,Familiare,F,Valori per centomila abitanti,Irlanda del Nord,2008,0.0
A,Familiare,M,Valori assoluti,Repubblica Ceca,2008,2.0
A,Familiare,M,Valori assoluti,Finlandia,2008,8.0
A,Familiare,M,Valori assoluti,Italia,2008,59.0
A,Familiare,M,Valori assoluti,Lituania,2008,16.0
A,Familiare,M,Valori assoluti,Paesi Bassi,2008,5.0
A,Familiare,M,Valori assoluti,Inghilterra e Galles,2008,38.0
A,Familiare,M,Valori assoluti,Scozia,2008,9.0
A,Familiare,M,Valori assoluti,Irlanda del Nord,2008,2.0
A,Familiare,M,Valori per centomila abitanti,Repubblica Ceca,2008,0.04
A,Familiare,M,Valori per centomila abitanti,Finlandia,2008,0.31
A,Familiare,M,Valori per centomila abitanti,Italia,2008,0.21
A,Familiare,M,Valori per centomila abitanti,Lituania,2008,1.08
A,Familiare,M,Valori per centomila abitanti,Paesi Bassi,2008,0.06
A,Familiare,M,Valori per centomila abitanti,Inghilterra e Galles,2008,0.14
A,Familiare,M,Valori per centomila abitanti,Scozia,2008,0.36
A,Familiare,M,Valori per centomila abitanti,Irlanda del Nord,2008,0.23
A,Familiare,T,Valori assoluti,Repubblica Ceca,2008,13.0
A,Familiare,T,Valori assoluti,Finlandia,2008,11.0
A,Familiare,T,Valori assoluti,Italia,2008,110.0
A,Familiare,T,Valori assoluti,Lituania,2008,25.0
A,Familiare,T,Valori assoluti,Paesi Bassi,2008,17.0
A,Familiare,T,Valori assoluti,Slovenia,2008,3.0
A,Familiare,T,Valori assoluti,Inghilterra e Galles,2008,69.0
